"SPCD","nobs","minDBH","maxDBH","minHT","maxHT"
611,315259,1,71,5,199
835,112253,1,61,5,130
652,5400,1,42.4,7,125
521,15155,1,26.7,5,115
827,126480,1,59.2,5,157
531,109804,1,50.7,5,150
409,68631,1,59,5,148
491,41398,1,37,5,94
812,57032,1,75,5,140
110,100174,1,37.6,7,146
693,100326,1,38,5,144
931,28577,1,34.7,6,136
591,32091,1,20.7,5,99
131,1095023,1,71.2,5,999
802,232468,1,49.7,5,174
115,2889,1,38.8,8,141
316,542572,1,51.2,5,502
653,33899,1,36.7,5,999
111,168001,1,33.7,5,141
121,53877,1,29.3,5,145
826,14158,1,43.8,7,143
694,77189,1,52,5,135
221,24867,1,78.5,5,140
401,5278,1,38.5,6,143
722,4565,1,22.2,7,95
972,65906,1,45.2,5,138
822,8849,1,48.2,7,143
951,44253,1,38.7,5,147
391,36261,1,29.4,6,115
721,11186,1,37,5,136
762,102233,1,38.6,6,160
824,15869,1,43.2,5,106
345,681,1,21.9,10,90
820,46134,1,52,5,137
819,6970,1,23.3,6,78
621,170333,1,53.5,5,166
654,1451,1,18.6,9,103
403,65676,1,40.3,5,155
840,3354,1,20.5,6,70
808,282,1,33.1,8,106
711,63653,1,23.2,5,112
68,107559,1,31.7,5,125
222,32428,1,70,5,130
373,7190,1,37.3,7,119
545,2301,1,33.9,10,133
691,23552,1,51,7,133
701,41398,1,25.3,5,118
581,1055,1,29.4,11,108
461,25058,1,40.7,5,140
544,80993,1,47.9,5,148
975,21831,1,36.1,7,138
831,24030,1,51.6,5,150
837,88986,1,59.4,5,150
731,14989,1,66.9,8,160
999,892,1,24,6,119
571,375,1,21.2,11,88
994,13391,1,22.4,6,95
410,1327,1,30.2,8,125
400,2230,1,35.7,6,117
971,65241,1,29.6,5,131
828,5018,1,62.2,6,155
552,9588,1,39,7,127
760,503,1,17.8,5,94
813,15309,1,55.5,5,156
825,5288,1,56.8,8,143
404,5707,1,57,7,152
602,24861,1,37.1,7,141
834,4271,1,44.5,7,137
313,23295,1,36.3,5,114
43,3296,1,26.9,9,110
742,7643,1,75,7,181
901,18669,1,36.3,5,134
744,465,1,36.2,11,122
471,11683,1,20.8,6,112
682,8304,1,31.6,8,122
311,7735,1,80,6,131
922,12391,1,56.7,5,129
838,26534,1,72.1,5,118
993,2296,1,20,6,100
842,1602,1,21,8,88
841,2162,1,18.1,6,80
132,62025,1,26.9,7,146
858,169,1,19.2,7,89
67,395,1,25.4,10,84
107,12620,1,25.5,7,129
555,11591,1,36.7,5,135
500,5634,1,17.7,5,75
356,9049,1,22.1,7,105
920,1551,1,39.9,6,133
407,41382,1,34.3,7,140
367,2336,1,10.2,6,99
541,72642,1,49.8,5,149
806,51404,1,49.7,7,152
766,997,1,21.5,7,98
462,23290,1,37.2,5,129
651,5863,1,37.3,10,138
833,123368,1,50.5,5,158
422,66,1,7.3,10,46
804,2754,1,43,10,126
402,22604,1,34.1,7,150
953,640,1,28,10,128
832,120247,1,52.7,6,158
641,10184,1,33.8,5,85
